file_path,author
/home/aiadmin/Desktop/datasets/bigText/Lippmann__Walter/20125_APrefaceto.txt,Lippmann__Walter
/home/aiadmin/Desktop/datasets/bigText/Kales__Albert_Martin/68928_Unpopulargovernmentin.txt,Kales__Albert_Martin
/home/aiadmin/Desktop/datasets/bigText/Weschcke__Carl/18189_GrowingNutsin.txt,Weschcke__Carl
/home/aiadmin/Desktop/datasets/bigText/Parry__Albert_William/36553_EducationinEngland.txt,Parry__Albert_William
/home/aiadmin/Desktop/datasets/bigText/Richter__Luise__1852_/44334_ChantillyinHistory.txt,Richter__Luise__1852_
/home/aiadmin/Desktop/datasets/bigText/Coalition_for_Networked_Information/253_TheUniversalCopyright.txt,Coalition_for_Networked_Information
/home/aiadmin/Desktop/datasets/bigText/Wilson__James_Harrison/14429_Heroesofthe.txt,Wilson__James_Harrison
/home/aiadmin/Desktop/datasets/bigText/Wheeler__Harold__1877_/50910_TheStoryof.txt,Wheeler__Harold__1877_
/home/aiadmin/Desktop/datasets/bigText/Gilbreth__Lillian_Moller/16256_ThePsychologyof.txt,Gilbreth__Lillian_Moller
/home/aiadmin/Desktop/datasets/bigText/Durning_Lawrence__Edwin__Sir/47425_TheShakespeareMyth.txt,Durning_Lawrence__Edwin__Sir
/home/aiadmin/Desktop/datasets/bigText/Birkenhead__Frederick_Edwin_Smith__Earl_of/18636_TheStoryof.txt,Birkenhead__Frederick_Edwin_Smith__Earl_of
/home/aiadmin/Desktop/datasets/bigText/Chandler__Walter_M___Walter_Marion_/40966_TheTrialof.txt,Chandler__Walter_M___Walter_Marion_
/home/aiadmin/Desktop/datasets/bigText/Brooks__Henry_M___Henry_Mason_/20467_Handbookofthe.txt,Brooks__Henry_M___Henry_Mason_
/home/aiadmin/Desktop/datasets/bigText/Hine__Charles_De_Lano/45444_Lettersfroman.txt,Hine__Charles_De_Lano
/home/aiadmin/Desktop/datasets/bigText/Googerty__Thomas_F___Thomas_Francis_/69488_Practicalforgingand.txt,Googerty__Thomas_F___Thomas_Francis_
/home/aiadmin/Desktop/datasets/bigText/Priestley__Joseph/29734_ExperimentsandObservations.txt,Priestley__Joseph
/home/aiadmin/Desktop/datasets/bigText/MacKendrick__Paul_Lachlan/57308_TheMuteStones.txt,MacKendrick__Paul_Lachlan
/home/aiadmin/Desktop/datasets/bigText/Anderson__J__D___James_Drummond_/55465_ThePeoplesof.txt,Anderson__J__D___James_Drummond_
/home/aiadmin/Desktop/datasets/bigText/Maxwell__Herbert__Sir/39946_TreesAWoodland.txt,Maxwell__Herbert__Sir
/home/aiadmin/Desktop/datasets/bigText/Smith__Uriah/12364_TheUnitedStates.txt,Smith__Uriah
/home/aiadmin/Desktop/datasets/bigText/Watkins__C__Malcolm/40255_TheCulturalHistory.txt,Watkins__C__Malcolm
/home/aiadmin/Desktop/datasets/bigText/Horsley__J__W___John_William_/63263_PlaceNamesin.txt,Horsley__J__W___John_William_
/home/aiadmin/Desktop/datasets/bigText/Carus__Paul/56934_TheVenusof.txt,Carus__Paul
/home/aiadmin/Desktop/datasets/bigText/Cary__Elisabeth_Luther/31940_ArtistsPastand.txt,Cary__Elisabeth_Luther
/home/aiadmin/Desktop/datasets/bigText/Allen__James/10740_TheWayof.txt,Allen__James
/home/aiadmin/Desktop/datasets/bigText/Allen__James/4507_AsaMan.txt,Allen__James
/home/aiadmin/Desktop/datasets/bigText/Wilson__Woodrow/14811_Thenewfreedom.txt,Wilson__Woodrow
/home/aiadmin/Desktop/datasets/bigText/Wilson__Woodrow/71776_Anoldmaster.txt,Wilson__Woodrow
/home/aiadmin/Desktop/datasets/bigText/Wilson__Woodrow/35861_Congressionalgovernment.txt,Wilson__Woodrow
/home/aiadmin/Desktop/datasets/bigText/Wilson__Woodrow/24668_Inourfirst.txt,Wilson__Woodrow
/home/aiadmin/Desktop/datasets/bigText/Wilson__Woodrow/59019_TheRoadAway.txt,Wilson__Woodrow
/home/aiadmin/Desktop/datasets/bigText/Back__E__A___Ernest_Adna_/59378_CarpetBeetlesand.txt,Back__E__A___Ernest_Adna_
/home/aiadmin/Desktop/datasets/bigText/Elmendorf__Dwight_L___Dwight_Lathrop_/52131_TheMentorThe.txt,Elmendorf__Dwight_L___Dwight_Lathrop_
/home/aiadmin/Desktop/datasets/bigText/Sage__W__N___Walter_Noble_/63152_SirGeorgeArthur.txt,Sage__W__N___Walter_Noble_
/home/aiadmin/Desktop/datasets/bigText/Colvin__Fred_H___Fred_Herbert_/20282_TheWorkingof.txt,Colvin__Fred_H___Fred_Herbert_
/home/aiadmin/Desktop/datasets/bigText/Browne__Montagu/26014_PracticalTaxidermy.txt,Browne__Montagu
/home/aiadmin/Desktop/datasets/bigText/Edgeworth__Maria/28708_PracticalEducationVolume.txt,Edgeworth__Maria
/home/aiadmin/Desktop/datasets/bigText/Edgeworth__Maria/28709_PracticalEducationVolume.txt,Edgeworth__Maria
/home/aiadmin/Desktop/datasets/bigText/Hale__George_Ellery/19395_TheNewHeavens.txt,Hale__George_Ellery
/home/aiadmin/Desktop/datasets/bigText/Collins__W__Lucas__William_Lucas_/59887_Virgil.txt,Collins__W__Lucas__William_Lucas_
/home/aiadmin/Desktop/datasets/bigText/Blane__Gilbert__Sir/67824_AStatementof.txt,Blane__Gilbert__Sir
/home/aiadmin/Desktop/datasets/bigText/Blane__Gilbert__Sir/53007_Observationsonthe.txt,Blane__Gilbert__Sir
/home/aiadmin/Desktop/datasets/bigText/Osborne__Thomas_S_/49036_AtomsinAgriculture.txt,Osborne__Thomas_S_
/home/aiadmin/Desktop/datasets/bigText/Harding__A__R___Arthur_Robert_/34076_FoxTrappingA.txt,Harding__A__R___Arthur_Robert_
/home/aiadmin/Desktop/datasets/bigText/Brodrick__Harold_J_/51068_AgatizedRainbowsA.txt,Brodrick__Harold_J_
/home/aiadmin/Desktop/datasets/bigText/Abbott__Jacob/11688_HistoryofJulius.txt,Abbott__Jacob
/home/aiadmin/Desktop/datasets/bigText/Cundall__Frank/70109_HistoricJamaica.txt,Cundall__Frank
/home/aiadmin/Desktop/datasets/bigText/Burton__John_Hill/42843_LifeandCorrespondence.txt,Burton__John_Hill
/home/aiadmin/Desktop/datasets/bigText/Pollen__Maria_Margaret___1919/51863_SevenCenturiesof.txt,Pollen__Maria_Margaret___1919
/home/aiadmin/Desktop/datasets/bigText/Kisch__E__Heinrich__Enoch_Heinrich_/63274_Thesexuallife.txt,Kisch__E__Heinrich__Enoch_Heinrich_
/home/aiadmin/Desktop/datasets/bigText/Thorpe__Francis_Newton/55452_TheEssentialsof.txt,Thorpe__Francis_Newton
/home/aiadmin/Desktop/datasets/bigText/Boak__Arthur_E__R___Arthur_Edward_Romilly_/32624_AHistoryof.txt,Boak__Arthur_E__R___Arthur_Edward_Romilly_
/home/aiadmin/Desktop/datasets/bigText/Wormington__H__M___Hannah_Marie_/65822_PrehistoricIndiansof.txt,Wormington__H__M___Hannah_Marie_
/home/aiadmin/Desktop/datasets/bigText/Tenniel__John/59801_CartoonsbySir.txt,Tenniel__John
/home/aiadmin/Desktop/datasets/bigText/Lamar__J__E___John_Everts_/65426_IndustrialMineralsand.txt,Lamar__J__E___John_Everts_
/home/aiadmin/Desktop/datasets/bigText/MacLaurin__C___Charles_/71069_Meremortals.txt,MacLaurin__C___Charles_
/home/aiadmin/Desktop/datasets/bigText/Hillary__William__Sir/27322_AnAppealto.txt,Hillary__William__Sir
/home/aiadmin/Desktop/datasets/bigText/Hunt__Robert/51897_ThePoetryof.txt,Hunt__Robert
/home/aiadmin/Desktop/datasets/bigText/Bierce__Ambrose_/66490_TheCollectedWorks.txt,Bierce__Ambrose_
/home/aiadmin/Desktop/datasets/bigText/Moore__J__Howard__John_Howard_/61363_TheUniversalKinship.txt,Moore__J__Howard__John_Howard_
/home/aiadmin/Desktop/datasets/bigText/Alexander_Hamilton_Institute__U_S__/37924_ForgingAheadin.txt,Alexander_Hamilton_Institute__U_S__
/home/aiadmin/Desktop/datasets/bigText/Elliott__James__Sir/21325_OutlinesofGreek.txt,Elliott__James__Sir
/home/aiadmin/Desktop/datasets/bigText/Stopes__Marie_Carmichael/43976_AncientPlants.txt,Stopes__Marie_Carmichael
/home/aiadmin/Desktop/datasets/bigText/Evans__E__P___Edward_Payson_/43286_TheCriminalProsecution.txt,Evans__E__P___Edward_Payson_
/home/aiadmin/Desktop/datasets/bigText/Cutten__George_Barton/23101_ThreeThousandYears.txt,Cutten__George_Barton
/home/aiadmin/Desktop/datasets/bigText/Fox__Mary__Lady/69476_Accountofan.txt,Fox__Mary__Lady
/home/aiadmin/Desktop/datasets/bigText/Scott_James__R__A___Rolfe_Arnold___1878_/22303_PersonalityinLiterature.txt,Scott_James__R__A___Rolfe_Arnold___1878_
/home/aiadmin/Desktop/datasets/bigText/Buchanan__Angus/68854_Threeyearsof.txt,Buchanan__Angus
/home/aiadmin/Desktop/datasets/bigText/Jackson__Helen_Hunt/50560_ACenturyof.txt,Jackson__Helen_Hunt
/home/aiadmin/Desktop/datasets/bigText/Hawkins__Nancy_W_/62189_LouisianaPrehistory.txt,Hawkins__Nancy_W_
/home/aiadmin/Desktop/datasets/bigText/Hawkins__Nancy_W_/62235_PreservingLouisianasLegacy.txt,Hawkins__Nancy_W_
/home/aiadmin/Desktop/datasets/bigText/Atkinson__William_Walker/41838_TheArtof.txt,Atkinson__William_Walker
/home/aiadmin/Desktop/datasets/bigText/Atkinson__William_Walker/26364_Reincarnationandthe.txt,Atkinson__William_Walker
/home/aiadmin/Desktop/datasets/bigText/Atkinson__William_Walker/42055_YourMindand.txt,Atkinson__William_Walker
/home/aiadmin/Desktop/datasets/bigText/Atkinson__William_Walker/13402_TheHinduYogiScience.txt,Atkinson__William_Walker
/home/aiadmin/Desktop/datasets/bigText/Benham__William/43525_MedivalLondon.txt,Benham__William
/home/aiadmin/Desktop/datasets/bigText/New_Zealand__General_Assembly_Library/25033_Reportofthe.txt,New_Zealand__General_Assembly_Library
/home/aiadmin/Desktop/datasets/bigText/New_Zealand__General_Assembly_Library/25034_Reportofthe.txt,New_Zealand__General_Assembly_Library
/home/aiadmin/Desktop/datasets/bigText/Sapir__Edward/12629_LanguageAnIntroduction.txt,Sapir__Edward
/home/aiadmin/Desktop/datasets/bigText/Inman__Thomas/38485_AncientPaganand.txt,Inman__Thomas
/home/aiadmin/Desktop/datasets/bigText/Fonblanque__J__S__M___John_Samuel_Martin_/63241_MedicalJurisprudenceVolume.txt,Fonblanque__J__S__M___John_Samuel_Martin_
/home/aiadmin/Desktop/datasets/bigText/Fonblanque__J__S__M___John_Samuel_Martin_/63830_MedicalJurisprudenceVolume.txt,Fonblanque__J__S__M___John_Samuel_Martin_
/home/aiadmin/Desktop/datasets/bigText/Dawson__John_William__Sir/67287_RelicsofPrimeval.txt,Dawson__John_William__Sir
/home/aiadmin/Desktop/datasets/bigText/Dawson__John_William__Sir/51021_TheGeologicalHistory.txt,Dawson__John_William__Sir
/home/aiadmin/Desktop/datasets/bigText/Dawson__John_William__Sir/50767_LifesDawnon.txt,Dawson__John_William__Sir
/home/aiadmin/Desktop/datasets/bigText/Dawson__John_William__Sir/42741_TheStoryof.txt,Dawson__John_William__Sir
/home/aiadmin/Desktop/datasets/bigText/Dawson__John_William__Sir/59658_SomeSalientPoints.txt,Dawson__John_William__Sir
/home/aiadmin/Desktop/datasets/bigText/Kester__Roy_B___Roy_Bernard_/70556_Accountingtheoryand.txt,Kester__Roy_B___Roy_Bernard_
/home/aiadmin/Desktop/datasets/bigText/Kester__Roy_B___Roy_Bernard_/70367_Accountingtheoryand.txt,Kester__Roy_B___Roy_Bernard_
/home/aiadmin/Desktop/datasets/bigText/Bottarelli__Ferdinando/50419_Exercisesuponthe.txt,Bottarelli__Ferdinando
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/13891_ACompilationof.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/53651_Americaandthe.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/71581_Americanidealsand.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/37656_ThomasHartBenton.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/64224_Americanproblems.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/34135_ABookLoversHolidays.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/68152_Americanism.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/67811_Rooseveltinthe.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/68449_AddressofPresident.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/5032_Stateofthe.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/68309_AddressofPresident.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/68181_AddressofPresident.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Roosevelt__Theodore/11943_TheWinningof.txt,Roosevelt__Theodore
/home/aiadmin/Desktop/datasets/bigText/Babbitt__Harold_E___Harold_Eaton_/61773_SewerageandSewage.txt,Babbitt__Harold_E___Harold_Eaton_
/home/aiadmin/Desktop/datasets/bigText/Epictetus__55_135/45109_TheEnchiridion.txt,Epictetus__55_135
/home/aiadmin/Desktop/datasets/bigText/Budge__E__A__Wallis__Ernest_Alfred_Wallis___Sir/7096_TheBabylonianStory.txt,Budge__E__A__Wallis__Ernest_Alfred_Wallis___Sir
/home/aiadmin/Desktop/datasets/bigText/Budge__E__A__Wallis__Ernest_Alfred_Wallis___Sir/48649_TheRosettaStone.txt,Budge__E__A__Wallis__Ernest_Alfred_Wallis___Sir
/home/aiadmin/Desktop/datasets/bigText/Mahan__Asa/38621_Doctrineofthe.txt,Mahan__Asa
/home/aiadmin/Desktop/datasets/bigText/Klapp__Eugene/17777_Transactionsofthe.txt,Klapp__Eugene
/home/aiadmin/Desktop/datasets/bigText/Lincoln__Frederick_Charles/65222_MigrationofBirds.txt,Lincoln__Frederick_Charles
/home/aiadmin/Desktop/datasets/bigText/Egede__Hans/58308_ADescriptionof.txt,Egede__Hans
/home/aiadmin/Desktop/datasets/bigText/Philip__Alexander_Philip_Wilson/66016_Observationonthe.txt,Philip__Alexander_Philip_Wilson
/home/aiadmin/Desktop/datasets/bigText/Rawlings__Gertrude_Burford/33413_TheStoryof.txt,Rawlings__Gertrude_Burford
/home/aiadmin/Desktop/datasets/bigText/Miall__L__C___Louis_Compton_/58109_Historyofbiology.txt,Miall__L__C___Louis_Compton_
/home/aiadmin/Desktop/datasets/bigText/Call__Annie_Payson/32421_AManof.txt,Call__Annie_Payson
/home/aiadmin/Desktop/datasets/bigText/Janes__Donald_W_/29688_HomeRangeand.txt,Janes__Donald_W_
/home/aiadmin/Desktop/datasets/bigText/Rothamsted_Experimental_Station/68670_Themicroorganismsof.txt,Rothamsted_Experimental_Station
/home/aiadmin/Desktop/datasets/bigText/Giles__Henry/49930_UnitarianismDefended.txt,Giles__Henry
/home/aiadmin/Desktop/datasets/bigText/Walker__A__S___Alta_Sharon___1942_/47108_DesertsGeologyand.txt,Walker__A__S___Alta_Sharon___1942_
/home/aiadmin/Desktop/datasets/bigText/Nearing__Scott/28991_TheNextStep.txt,Nearing__Scott
/home/aiadmin/Desktop/datasets/bigText/Nearing__Scott/12320_CivilizationandBeyond.txt,Nearing__Scott
/home/aiadmin/Desktop/datasets/bigText/Nearing__Scott/27787_TheAmericanEmpire.txt,Nearing__Scott
/home/aiadmin/Desktop/datasets/bigText/Carbery__Edward/58749_Inducementstothe.txt,Carbery__Edward
/home/aiadmin/Desktop/datasets/bigText/Cannon__William_Austin/70581_Botanicalfeaturesof.txt,Cannon__William_Austin
/home/aiadmin/Desktop/datasets/bigText/Crapo__Henry_Howland/29057_Addressdeliveredby.txt,Crapo__Henry_Howland
/home/aiadmin/Desktop/datasets/bigText/Chapple__W__A___William_Allan_/16254_TheFertilityof.txt,Chapple__W__A___William_Allan_
/home/aiadmin/Desktop/datasets/bigText/Briggs__Helen_T_/70046_Aguideto.txt,Briggs__Helen_T_
/home/aiadmin/Desktop/datasets/bigText/Bishop__Philip_W_/29633_TheBeginningsof.txt,Bishop__Philip_W_
/home/aiadmin/Desktop/datasets/bigText/Hayes__C__W___Charles_Willard_/50531_OnSulphonfluorescenand.txt,Hayes__C__W___Charles_Willard_
/home/aiadmin/Desktop/datasets/bigText/Scott__Ernest__Sir/7304_TheLifeof.txt,Scott__Ernest__Sir
/home/aiadmin/Desktop/datasets/bigText/Scott__Ernest__Sir/7450_TerreNapolena.txt,Scott__Ernest__Sir
/home/aiadmin/Desktop/datasets/bigText/Ehrlich__Paul/29842_Histologyofthe.txt,Ehrlich__Paul
/home/aiadmin/Desktop/datasets/bigText/Chadwick__Edwin/65090_ReporttoHer.txt,Chadwick__Edwin
/home/aiadmin/Desktop/datasets/bigText/Acton__John_Emerich_Edward_Dalberg_Acton__Baron/31278_TheHistoryof.txt,Acton__John_Emerich_Edward_Dalberg_Acton__Baron
/home/aiadmin/Desktop/datasets/bigText/Acton__John_Emerich_Edward_Dalberg_Acton__Baron/18685_LecturesonModern.txt,Acton__John_Emerich_Edward_Dalberg_Acton__Baron
/home/aiadmin/Desktop/datasets/bigText/Podmore__Frank/56489_Apparitionsandthoughttransference.txt,Podmore__Frank
/home/aiadmin/Desktop/datasets/bigText/Ferguson__Henry/71922_EssaysinAmerican.txt,Ferguson__Henry
/home/aiadmin/Desktop/datasets/bigText/Thomas__M__Carey__Martha_Carey_/57398_EducationofWomen.txt,Thomas__M__Carey__Martha_Carey_
/home/aiadmin/Desktop/datasets/bigText/Bishopp__F__C___Fred_Corry_/63226_FlytrapsandTheir.txt,Bishopp__F__C___Fred_Corry_
/home/aiadmin/Desktop/datasets/bigText/Machen__J__Gresham__John_Gresham_/43685_TheLiteratureand.txt,Machen__J__Gresham__John_Gresham_
/home/aiadmin/Desktop/datasets/bigText/Key__Ellen/57283_TheCenturyof.txt,Key__Ellen
/home/aiadmin/Desktop/datasets/bigText/Martin__Edward_A___Edward_Alfred_/12762_TheStoryof.txt,Martin__Edward_A___Edward_Alfred_
/home/aiadmin/Desktop/datasets/bigText/Alexander__William/40775_ExpositorsBibleThe.txt,Alexander__William
/home/aiadmin/Desktop/datasets/bigText/Bennett__Charles_E___Charles_Edwin_/15665_NewLatinGrammar.txt,Bennett__Charles_E___Charles_Edwin_
/home/aiadmin/Desktop/datasets/bigText/Holt__L__Emmett__Luther_Emmett_/15484_TheCareand.txt,Holt__L__Emmett__Luther_Emmett_
/home/aiadmin/Desktop/datasets/bigText/Williams__Leonard__1871_/44391_TheArtsand.txt,Williams__Leonard__1871_
/home/aiadmin/Desktop/datasets/bigText/Morgan__Thomas_Hunt/57198_Regeneration.txt,Morgan__Thomas_Hunt
/home/aiadmin/Desktop/datasets/bigText/Morgan__Thomas_Hunt/71234_Somepossiblebearings.txt,Morgan__Thomas_Hunt
/home/aiadmin/Desktop/datasets/bigText/Morgan__Thomas_Hunt/63540_EvolutionandAdaptation.txt,Morgan__Thomas_Hunt
/home/aiadmin/Desktop/datasets/bigText/Morgan__Thomas_Hunt/30701_ACritiqueof.txt,Morgan__Thomas_Hunt
/home/aiadmin/Desktop/datasets/bigText/Schechter__S___Solomon_/48890_StudiesinJudaism.txt,Schechter__S___Solomon_
/home/aiadmin/Desktop/datasets/bigText/Galbraith__Anna_M___Anna_Mary___1859_/70797_Personalhygieneand.txt,Galbraith__Anna_M___Anna_Mary___1859_
/home/aiadmin/Desktop/datasets/bigText/Brewer__Luther_Albertus/33072_StevensonsPerfectVirtues.txt,Brewer__Luther_Albertus
/home/aiadmin/Desktop/datasets/bigText/Gardiner__Samuel_Rawson/40082_TheThirtyYears.txt,Gardiner__Samuel_Rawson
/home/aiadmin/Desktop/datasets/bigText/Kelson__Keith_R_/31089_TheSubspeciesof.txt,Kelson__Keith_R_
/home/aiadmin/Desktop/datasets/bigText/Ostwald__Wilhelm/43791_NaturalPhilosophy.txt,Ostwald__Wilhelm
/home/aiadmin/Desktop/datasets/bigText/Lindström__Gustaf/67265_Researchesonthe.txt,Lindström__Gustaf
/home/aiadmin/Desktop/datasets/bigText/Pinches__Theophilus_G___Theophilus_Goldridge_/2069_TheReligionof.txt,Pinches__Theophilus_G___Theophilus_Goldridge_
/home/aiadmin/Desktop/datasets/bigText/Pinches__Theophilus_G___Theophilus_Goldridge_/38732_TheOldTestament.txt,Pinches__Theophilus_G___Theophilus_Goldridge_
/home/aiadmin/Desktop/datasets/bigText/Wilson__Rufus_Rockwell/45069_LincolninCaricature.txt,Wilson__Rufus_Rockwell
/home/aiadmin/Desktop/datasets/bigText/Wilson__Rufus_Rockwell/44413_TheSeaRovers.txt,Wilson__Rufus_Rockwell
/home/aiadmin/Desktop/datasets/bigText/Dryden__John_F___John_Fairfield_/24901_TheAmericanType.txt,Dryden__John_F___John_Fairfield_
/home/aiadmin/Desktop/datasets/bigText/Negretti__Enrico_Angelo_Lodovico/36457_ATreatiseon.txt,Negretti__Enrico_Angelo_Lodovico
/home/aiadmin/Desktop/datasets/bigText/Scott__Walter/11623_TheDramaticWorks.txt,Scott__Walter
/home/aiadmin/Desktop/datasets/bigText/Scott__Walter/48838_LifeofNapoleon.txt,Scott__Walter
/home/aiadmin/Desktop/datasets/bigText/Scott__Walter/43678_AnneofGeierstein.txt,Scott__Walter
/home/aiadmin/Desktop/datasets/bigText/Haverfield__F___Francis_/19115_RomanBritainin.txt,Haverfield__F___Francis_
/home/aiadmin/Desktop/datasets/bigText/Haverfield__F___Francis_/14189_AncientTownPlanning.txt,Haverfield__F___Francis_
/home/aiadmin/Desktop/datasets/bigText/Haverfield__F___Francis_/14173_TheRomanizationof.txt,Haverfield__F___Francis_
/home/aiadmin/Desktop/datasets/bigText/Jones__W__Tudor__William_Tudor_/16835_AnInterpretationof.txt,Jones__W__Tudor__William_Tudor_
/home/aiadmin/Desktop/datasets/bigText/Simpson__James_Young/47833_ArchologicalEssaysVol.txt,Simpson__James_Young
/home/aiadmin/Desktop/datasets/bigText/Lewis__Arthur_M___Arthur_Morrow_/30565_TheArtof.txt,Lewis__Arthur_M___Arthur_Morrow_
/home/aiadmin/Desktop/datasets/bigText/Babbitt__Irving/50235_RousseauandRomanticism.txt,Babbitt__Irving
/home/aiadmin/Desktop/datasets/bigText/Faraday__Michael/14986_ExperimentalResearchesin.txt,Faraday__Michael
/home/aiadmin/Desktop/datasets/bigText/Hunting__Harold_B___Harold_Bruce_/18187_HebrewLifeand.txt,Hunting__Harold_B___Harold_Bruce_
/home/aiadmin/Desktop/datasets/bigText/Fagan__James_O___James_Octavius___1859_/63374_Confessionsofa.txt,Fagan__James_O___James_Octavius___1859_
/home/aiadmin/Desktop/datasets/bigText/Fleetwood__Christian_A___Christian_Abraham_/70404_TheNegroas.txt,Fleetwood__Christian_A___Christian_Abraham_
/home/aiadmin/Desktop/datasets/bigText/Bonar__James/68099_Malthusandhis.txt,Bonar__James
/home/aiadmin/Desktop/datasets/bigText/Wollstonecraft__Mary/23233_PosthumousWorksof.txt,Wollstonecraft__Mary
