source,custom_id,author,index,table_content
Gutenberg,Bell__Thomas_J___Thomas_Jefferson___1852_-66130_Historyofthe.txt-7,Bell Thomas J  Thomas Jefferson  1852 ,,"TOTAL SIZE OF OWNER. DEPTH DEPTH BORE IN REMARKS. IN FEET. IN FEET. INCHES. -----------------+--------+--------+--------+-------------- 30 Hulsman 131 161 4 Bored to the rock. +--------+ Windisch, 4½ Driven to the Muhlhauser & Co. rock. 180 4½ +--------+ John Hauck 170 +--------+ 46 Emery Hotel. 40 60 146 3 From the --------+ cellar. W. W. Johnson. 12 68 80 3½ To the rock. --------+ City Infirmary. 12 13½ 6½ 15 15 Also another 29 92 3½ well 73 feet. =================+========+========+========+=============="
Gutenberg,Bell__Thomas_J___Thomas_Jefferson___1852_-66130_Historyofthe.txt-7,Bell Thomas J  Thomas Jefferson  1852 ,,"ARTESIAN WELLS. Beneath the Cincinnati group are the calciferous sand-rock and Potsdam sandstone, which are porous and water bearing, but they rise to the surface nowhere in our State. They have been reached, however, at this point in several of the deep well-borings, and flowing water of sulpho-saline nature was found, at the following locations: =========================+====================+==========+=============+ NAME OF OWNER. LOCATION. DEPTH SIZE OF BORE IN FEET. IN INCHES. -------------------------+--------------------+----------+-------------+ Rabe’s Distillery Cumminsville. 1,400 4½ Millcreek West of Millcreek. 1,440 4½ Cincinnati Gas Co West Front Street. 1,360 4½ 1,360 4½ Eastern Avenue. 1,475 6 Moerlein’s Brewery North Elm Street. 2,408 4 Keck’s Fertilizing Works Cumminsville. 1,380 -- =========================+====================+==========+=============+ =========================+==========+==========+========+============ CAPACITY NAME OF OWNER. DEPTH PRESSURE TEMPER- PER HOUR IN FEET. IN LBS. ATURE. IN GALLONS. -------------------------+----------+----------+--------+------------ Rabe’s Distillery 1,400 35 -- 6,000 Millcreek 1,440 45 -- 16,000 Cincinnati Gas Co 1,360 41 60 8,300 1,360 40 60 8,300 1,475 52 61 30,000 Moerlein’s Brewery 2,408 -- 62 24,000 Keck’s Fertilizing Works 1,380 -- 60 =========================+==========+==========+========+============ Through the kindness of Gen. A. Hickenlooper, President of the Cincinnati Gas Company, the following complete account of the borings at their works on Front Street is given, which will also serve for a description of the above artesian wells. The depth and classification of strata are: Filling 5 feet. Yellow clay 5 Blue clay 20 Sand and gravel 90 Soapstone 3 Blue limestone 40 Blue & gray limestone 50 Sandstone 5 Limestone 380 White limestone 240 Sandstone 65 Limestone, very hard 15 feet. Red sandstone 62 White sandstone 85 Coarse sandstone } 15 Coarse limestone } Sandstone 140 Very hard, flinty } limestone } Red and white } 25 marble } White marble or flint } -----"
Gutenberg,Bell__Thomas_J___Thomas_Jefferson___1852_-66130_Historyofthe.txt-7,Bell Thomas J  Thomas Jefferson  1852 ,,"GRAINS IN ONE U. S. GALLON. Carbonate of Lime 19.34 Carbonate of Magnesia 9.13 Chloride of Sodium 534.77 Chloride of Potassium 3.95 Chloride of Magnesia 17.26 Chloride of Calcium 22.19 Sulphate of Lime 29.20 Sulphate of Potash 2.30 Iodide of Magnesium 30 Bromide of Magnesium 39 Oxide of Iron 43 Phosphate of Soda 1.34 Silica 79 Loss in analysis 76 -------- Total 642.16 Prof. Newberry is of the opinion that soft water is improbable in these deep rocks. No. 3. WATER-SHED. The courses of our streams show at a glance that a water-shed crosses the State from north-east to south-west. This water-shed forms a range of highlands that slope by long and easy descent to the Ohio in the south, more rapidly to the lake in the north. This water-shed in its relief is almost insignificant, its average altitude being only 500 feet above the lake, its highest point rising perhaps 1,000 feet above the bottom valley of the Ohio. Our topographical features may therefore be described of a plain, slightly raised along a line traversing it from north-east to south-west. The following altitudes will show the topography of the northern divide. The levels are all above Lake Erie: ------------------+-----------------------------------------------------"
Gutenberg,Bell__Thomas_J___Thomas_Jefferson___1852_-66130_Historyofthe.txt-10,Bell Thomas J  Thomas Jefferson  1852 ,,"SUBTERRANEAN WATER RESOURCES. Underlying our drift formation is that impervious strata of blue limestone, 1,000 feet in thickness, through which no water can circulate. The lowest limit of this mass of stone is at low water of the Ohio River, at Cincinnati, from which point it anticlines in all directions. There are crevices or pockets, however, in which water has been accidentally found. The following are examples: ===================+==============+=====================+======+ NAME OF OWNER. LOCATION. FORMATION. DEPTH IN FEET. -------------------+--------------+---------------------+------+ John Kaufman. Vine Street. Blue clay. 25 Sand and quicksand. 73 Blue clay. 55 Quicksand and gravel. 35 Limestone. 25 Soil and quicksand. 75 Holder’s Tannery. Colerain Pike. Clay. 90 Limestone. 50 Alluvial and gravel. 80 Freiburg & Workum. Main Street. Limestone. 170 ===================+==============+=====================+======+ ===================+======+========+==========+=========== TOTAL DIAMETER NAME OF OWNER. DEPTH DEPTH OF WHERE WATER IN OF WELL BORING WAS FOUND. FEET. IN FEET. IN INCHES. -------------------+------+--------+----------+----------- John Kaufman. 25 73 55 35 25 215 3½ In crevice. 75 Holder’s Tannery. 90 50 215 3½ 80 Freiburg & Workum. 170 250 -- In crevice. ===================+======+========+==========+==========="
Gutenberg,Bell__Thomas_J___Thomas_Jefferson___1852_-66130_Historyofthe.txt-10,Bell Thomas J  Thomas Jefferson  1852 ,,"OWNER. LOCATION. FORMATION. DEPTH IN FEET. -----------------+-------------+-------------------+--------+ Fill. 30 Hulsman W. S. John, Blue clay. } near Lib’ty. Quicksand. } 131 Gravel. } +--------+ Windisch, Brewery on Sand. } Muhlhauser & Co. the Canal Quicksand. } Gravel. } Sand. } +--------+ John Hauck Brewery on Quicksand, yellow.} Dayton St. blue. } +--------+ Gravel. 46 Blue Clay. } Emery Hotel. Vine St. bet. Black mud. } 4th and 5th. Quicksand. } 40 Gravel. 60 +--------+ W. W. Johnson. Sycamore & Alluvial. 12 Yeatman. Gravel. 68 +--------+ City Infirmary. Hartwell. Black loam. 12 Blue clay. 13½ Blue clay mixed } with gravel. } 6½ Bowlder gravel. 15 Quicksand. 15 Gravel. 29 =================+=============+===================+========+ =================+========+========+========+============== TOTAL SIZE OF OWNER. DEPTH DEPTH BORE IN REMARKS. IN FEET. IN FEET. INCHES. -----------------+--------+--------+--------+-------------- 30 Hulsman 131 161 4 Bored to the rock. +--------+ Windisch, 4½ Driven to the Muhlhauser & Co. rock. 180 4½ +--------+ John Hauck 170 +--------+ 46 Emery Hotel. 40 60 146 3 From the --------+ cellar. W. W. Johnson. 12 68 80 3½ To the rock. --------+ City Infirmary. 12 13½ 6½ 15 15 Also another 29 92 3½ well 73 feet. =================+========+========+========+=============="
Gutenberg,Bell__Thomas_J___Thomas_Jefferson___1852_-66130_Historyofthe.txt-5,Bell Thomas J  Thomas Jefferson  1852 ,,REDUCTION BY OXIDATION IN RUNNING WATER. --------+--------------+-----------+--------------------------------- PERCENTAGE OF REDUCTION OF NAME OF LENGTH OF FLOW TEMPERATURE ORGANIC ELEMENT. RIVER. IN MILES. CENTIGRADE.+---------------+----------------- IN ORG. CARBON. IN ORG. NITROGEN. --------+--------------+-----------+---------------+----------------- Irwell 11 6 to 8 4.5 0 11 12 0 11.8 11 17 29.6 0 Mersey 13 4 to 4.8 20.8 17.9 Darwin 13 6.8 to 10 0 13.2. --------+--------------+-----------+---------------+-----------------
Gutenberg,Gaskell__Walter_Holbrook-44000_TheOriginof.txt-15,Gaskell Walter Holbrook,,"TABLE OF COMPARISON OF CORRESPONDING SEGMENTS IN THE EURYPTERIDS AND IN AMMOCOETES (i.e. IN CEPHALASPIDS). Key: So. = Supra-oesophageal. Si. = Supra-infundibular. Io. = Infra-oesophageal. Ii. = Infra-infundibular. Ps. = Prosomatic. Ms. = Mesosomatic. +---+--------------------------------------------------------+ Median Eyes. +--------------------------------------------------------+ So. Lateral Eyes. +--------------------------------------------------------+ Camerostome. +---+--------------------------------------------------------+ Invertebrate (Limulus or Eurypterid). +---+---+---------+-----------------------------+------------+ Appendages. Coelomic Segments.+-------------+---------------+ Cavities. Limulus. Eurypterid. +---------+-------------+---------------+------------+ 1 Cheliceræ Cheliceræ 1 +---------+-------------+---------------+------------+ 2 1st Locomotor } +---------+-------------+} 2 3 2nd "" } Ventral part Ps.+---------+-------------+}4 Endognaths forms coxal 4 3rd "" } gland. +---------+-------------+} 5 4th "" } +---------+-------------+---------------+------------+ Io. 6 5th "" Ectognath 3 +---------+-------------+---------------+------------+ 7 Chilaria Metastoma 4 +---+---------+-------------+---------------+------------+ 8 Operculum Genital } 5 ---------+-------------+ }Oper-+------------+ 9 1st Branchial }culum 6 Branchial} Ms.+---------+-------------+---------------+------------+ 10 2nd "" 2nd Branchial 7 +---+---+---------+-------------+---------------+------------+ +-----------------------------------------------------+------+ Pineal Eyes. +-----------------------------------------------------+ Lateral Eyes. Si. +-----------------------------------------------------+ Olfactory Organ. +-----------------------------------------------------+------+ Vertebrate (Ammocoetes or Cephalaspid). +-------------+---------------+-------------+---------+------+ Splanchnic Somatic Somatic Appendages. Nerves. Segmental Nerves. Muscles. +-------------+---------------+-------------+---------+ ... ... ... ... +-------------+---------------+-------------+---------+ V Muscles 4 tentacles Tentacular supplied by III and upper and upper oculomotor lip. lip nerve. nerve. +-------------+---------------+-------------+---------+ Tongue V Sup.oblique IV Ii. Tongue nerve +-------------+---------------+-------------+---------+ Lower lip V Lower lip nerve +-------------+---------------+-------------+---------+ Thyroid } +-------------+} VII Ext. rectus VI Hyoid or } Retract oculi 1st Branchial } +-------------+---------------+-------------+---------+ 2nd Branchial IX ... ... +-------------+---------------+-------------+---------+------+ +-------------------------+------+ Pineal Nerve. +-------------------------+ II Si. +-------------------------+ I +-------------------------+------+ Vertebrate. +-------------+-----------+------+ Coelomic V. Wijhe's Cavities. Segments. +-------------+-----------+ Anterior. ... +-------------+-----------+ Premandi- bular Ventral part forms 1 pituitary body. pituitary +-------------+-----------+ Mandibular } Ii. } +-------------+} 2 Mandibular } } +-------------+-----------+ Hyoid1 3 +-------------+-----------+ Hyoid2 4 +-------------+-----------+ 2nd Branchial 5 +-------------+-----------+------"
Gutenberg,Adams__Alton_D_-48134_ElectricTransmissionof.txt-4,Adams Alton D ,,CIRCUITS IN TRANSMISSION LINES. +----------------------------+------+------+------+----------+--------+ Cycles Length Number Number Circular per Location of Lines. in of of Mils Second Miles. Cir- Pole per of cuits. Lines. Wire. Current. +----------------------------+------+------+------+----------+--------
Gutenberg,Iyenaga__T___Toyokichi_-36822_Japanandthe.txt-11,Iyenaga T  Toyokichi ,,"NUMBER OF JAPANESE IN CALIFORNIA ACCORDING TO THE UNITED STATES CENSUS. =========================================== Year. Number. Decennial Percentage of Increase. Decennial Increase. ----- ------- --------- ------------------- 1880 86 ..... ....... 1890 1,147 1,061 1,234 % 1900 10,151 9,004 785 % 1910 41,356 31,205 307.3% 1920 70,196 28,840 69.7% =========================================== We see from the above table that after half a century of Japanese immigration to the United States, California's net gain amounts to a little over 70,000, the number having increased at an average rate of 14,025 per decade, or 1603 per annum. We also observe that the percentage of decennial increase gradually decreased from 1234 per cent. to 69.7 per cent. It is useful to compare this development of the Japanese population with that of California in general, because it gives an idea of the relative importance of the Japanese increase. This is shown in the following table, in which the decennial rates of increase between them are compared: COMPARISON OF POPULATION INCREASE OF CALIFORNIA AND OF JAPANESE IN CALIFORNIA. ================================================================== Year. Number. Decennial Rate of Rate of Percentage of Increase. Decennial Japanese Japanese to the Increase. Decennial Total Population Increase. of California. ----- ----------- ----------- --------- --------- ---------------- 1880 864,694 ......... .... .... .0099% 1890 1,213,398 348,704 40.3% 1234 % .095 % 1900 1,485,053 271,655 22.3% 785 % .68 % 1910 2,377,549 892,496 60.0% 307.3% 1.73 % 1920 3,426,861 1,049,312 44.1% 69.7% 2.04 % =================================================================="
Gutenberg,Iyenaga__T___Toyokichi_-36822_Japanandthe.txt-11,Iyenaga T  Toyokichi ,,"JAPANESE POPULATION IN THE UNITED STATES AND CALIFORNIA. ===================================================================== Census. Japanese in Decennial Rate of Rate of Percentage of Continental Increase of Decennial Decennial Japanese in United Japanese in Increase. Increase of California to States. Continental Japanese in entire Japanese United California. population of States. United States. ------------------- ----------- --------- ----------- --------------- 1880 148 ...... ....... ...... 58.1% 1890 2,039 1,891 1,277.7% 1234.0% 56.2% 1900 24,326 22,287 1,093.0% 785.0% 41.7% 1910 72,157 47,831 196.6% 307.3% 57.3% 1920 119,207 47,050 65.2% 69.7% 58.8% ====================================================================="
Gutenberg,Iyenaga__T___Toyokichi_-36822_Japanandthe.txt-8,Iyenaga T  Toyokichi ,,DEATH RATE OF JAPANESE IN CALIFORNIA. ======================== Year. Number. Percentage of Death per 1000. ----- ------- ---------- 1910 440 10.64% 1911 472 ..... 1912 524 ..... 1913 613 ..... 1914 628 ..... 1915 663 ..... 1916 739 ..... 1917 910 ..... 1918 1150 ..... 1919 1360 20.00% ========================
Gutenberg,Iyenaga__T___Toyokichi_-36822_Japanandthe.txt-19,Iyenaga T  Toyokichi ,,DEATH RATE OF JAPANESE IN CALIFORNIA. ======================== Year. Number. Percentage of Death per 1000. ----- ------- ---------- 1910 440 10.64% 1911 472 ..... 1912 524 ..... 1913 613 ..... 1914 628 ..... 1915 663 ..... 1916 739 ..... 1917 910 ..... 1918 1150 ..... 1919 1360 20.00% ========================
Gutenberg,Stephenson__Andrew-12638_PublicLandsand.txt-14,Stephenson Andrew,,"CIVIC COLONIES. -----------+---------+------+------------+---------+-----------+----------- NO. OF NO. OF TOTAL NO. COLONIES. PLACE DATE. COLONISTS. JUG. TO OF JUG. ACRES. EACH. -----------+---------+------+------------+---------+-----------+----------- Labici. Latium. 418 1500 2 3000 1875 -----------+---------+------+------------+---------+-----------+----------- LATIN COLONIES. -----------+---------+------+------------+---------+-----------+----------- Ardea. Latium. 442 300 2 600 375 Satricum. "" 385 300 2 600 375 Sutrium. Etruria. 383 300 2 600 375 Nepete. "" 383 300 4 1200 750 Setia. Latium. 382 300 4 1200 750 -----------+---------+------+------------+---------+-----------+----------- Total 7200 4500 -----------------------------------------+---------+-----------+-----------"
Gutenberg,Hoodless__Adelaide-18097_PublicSchoolDomestic.txt-12,Hoodless Adelaide,,"NUTRIENTS. IN 100 PARTS. EACH 24 HOURS. -------------------------------- ----------------- -------------------- lb. oz. gr. Water 81.5 5 8 .320 Albuminoids 3.9 0 4 .178 Fat 3.0 0 3 .337 Common salt 3.7 0 0 .325 Phosphates, potash, salts, etc. 0.3 0 0 0.170 -----------------------------------------------------------------------"
Gutenberg,Hoodless__Adelaide-18097_PublicSchoolDomestic.txt-12,Hoodless Adelaide,,"STANDARDS FOR DAILY DIET OF LABORING MAN AT MODERATE MUSCULAR WORK. ========================+==========+=======+============================ Nutrients in Daily Food. Author. Protein. Fats. ---------------+------------ Carbohydrates. Fuel Value. ------------------------+----------+-------+---------------+------------ lb. lb. lb. Calories. Playfair, England .26 .11 1.17 3.140 Moleschotte, Italy .29 .09 1.21 3.160 Wolff, Germany .28 .08 1.19 3.030 Voit, Germany .26 .12 1.10 3.055 Atwater, United States .28 17.33 88.1.21 3.500 ------------------------+----------+-------+---------------+------------"
Gutenberg,Mayer__Brantz-49538_MexicoAztecSpanish.txt-4,Mayer Brantz,,"MILITARY FORCE BEFORE THE REVOLUTION. Veteran troops, 7,083 Garrison troops and viceroyal guards, 595 Garrison troops and guards. Internal provinces, 3,099 Provincial militia, 18,884 ------ 29,661 The maintenance of these cost annually, $1,800,000 The fort of St. Carlos at PerotÃ absorbed, 200,000 Costs of fortifications and casual expenses, 2,000,000 ---------- $4,000,000 5th. AGRICULTURE. This branch of industry produced a sum equal to the mines; that is to say--from twenty-two to twenty-four millions. The following calculation is founded upon the basis of the diezmos or tithes of the several bishoprics, which may be regarded as the best territorial measure. Bishoprics. Product of Agriculture in 1790. Diezmos. Mexico, $8,500,000 850,000 Puebla, 4,400,000 440,000 Valladolid, 4,000,000 400,000 Oajaca, 1,000,000 100,000 Guadalajara, 3,400,000 340,000 Durango, 1,200,000 120,000 ----------- ---------"
Gutenberg,Mayer__Brantz-49538_MexicoAztecSpanish.txt-4,Mayer Brantz,,"COMMERCE. The imports through Vera Cruz, before the war, averaging one year with another, exceeded, $19,000,000 The exports, inclusive of silver, 21,000,000 ----------- Difference in favor of exports, 2,000,000 ----------- Total of mercantile exchanges, 40,000,000 =========== The above exportations may be divided into-- Silver, $14,000,000 Agricultural products, 7,000,000 CLASSIFICATION OF EXPORTS. Weight in arrobas. Value in dollars Cochineal, 24,500 $1,715,000 Sugar, 500,000 1,500,000 Vainilla, 60,000 Indigo, 60,000 2,700,000 Sarsaparilla, 20,000 90,000 Pepper from Tabasco, 24,000 40,000 Flour, 500,000 Tanned leather, 80,000 Sundries, 315,000 -------- $7,000,000 Add export of precious metals, 14,000,000 ---------- $21,000,000 =========== CLASSIFICATION OF IMPORTS. Wine, 25 to 30,000 barrels $1,000,000 Paper, 125,000 reams, 375,000 Cinnamon, 100,000 lbs. 400,000 Brandy, 32,000 barrels, 1,000,000 Saffron, 17,000 lbs. 350,000 Iron, 50,000 quintals, 600,000 Steel, 6,000 "" 110,000 Wax, 26,000 arrobas, 500,000 Cacao, 20,000 fanegas, 1,100,000 Clothing, hardware and other manufactures, 14,000,000 ----------- $19,335,000 =========== From a statement published by the Consulado of Vera Cruz it appears that the IMPORTATION FROM SPAIN in 1802 was as follows:-- In national vessels, $11,539,219 } } $19,600,000 In foreign "" 8,060,781 } EXPORTATION in the same year, 33,866,219 ----------- Difference in favor of exports, $14,266,219 ----------- Commerce of the metropolis, $53,466,219 ----------- Importation from America, $1,607,792 Exportation for "" 4,581,148 ----------- General importation $21,207,792 General exportation, 38,447,367 ----------- Total trade of Vera Cruz in 1802, $59,655,159 ==========="
