custom_id,author,cleaned_text
Bridgman__E__C___Elijah_Coleman_-54055_LetterstoChildren.txt-19,Bridgman E C  Elijah Coleman ,
Bridgman__E__C___Elijah_Coleman_-54055_LetterstoChildren.txt-7,Bridgman E C  Elijah Coleman ,
Bridgman__E__C___Elijah_Coleman_-54055_LetterstoChildren.txt-8,Bridgman E C  Elijah Coleman ,
Norman__Benjamin_Moore-36878_RamblesbyLand.txt-14,Norman Benjamin Moore,
Norman__Benjamin_Moore-36878_RamblesbyLand.txt-4,Norman Benjamin Moore,
Norman__Benjamin_Moore-36878_RamblesbyLand.txt-5,Norman Benjamin Moore,
Norman__Benjamin_Moore-36878_RamblesbyLand.txt-7,Norman Benjamin Moore,
Norman__Benjamin_Moore-36878_RamblesbyLand.txt-1,Norman Benjamin Moore,
Pierre__de_Maricourt__active_13th_century-50524_TheLetterof.txt-0,Pierre de Maricourt active 13th century,
Pierre__de_Maricourt__active_13th_century-50524_TheLetterof.txt-4,Pierre de Maricourt active 13th century,
Pierre__de_Maricourt__active_13th_century-50524_TheLetterof.txt-3,Pierre de Maricourt active 13th century,
Pierre__de_Maricourt__active_13th_century-50524_TheLetterof.txt-5,Pierre de Maricourt active 13th century,
Pierre__de_Maricourt__active_13th_century-50524_TheLetterof.txt-1,Pierre de Maricourt active 13th century,
MacLaurin__C___Charles_-71069_Meremortals.txt-16,MacLaurin C  Charles ,
MacLaurin__C___Charles_-71069_Meremortals.txt-15,MacLaurin C  Charles ,
MacLaurin__C___Charles_-71069_Meremortals.txt-4,MacLaurin C  Charles ,
MacLaurin__C___Charles_-71069_Meremortals.txt-8,MacLaurin C  Charles ,
MacLaurin__C___Charles_-71069_Meremortals.txt-12,MacLaurin C  Charles ,
James__Edwin-48481_JamessAccountof.txt-13,James Edwin,
James__Edwin-48481_JamessAccountof.txt-4,James Edwin,
James__Edwin-48481_JamessAccountof.txt-7,James Edwin,
James__Edwin-48481_JamessAccountof.txt-12,James Edwin,
James__Edwin-48481_JamessAccountof.txt-2,James Edwin,
Hungerford__Edward-39838_OurRailroadsToMorrow.txt-12,Hungerford Edward,
Hungerford__Edward-39838_OurRailroadsToMorrow.txt-0,Hungerford Edward,
Hungerford__Edward-39838_OurRailroadsToMorrow.txt-8,Hungerford Edward,
Hungerford__Edward-39838_OurRailroadsToMorrow.txt-17,Hungerford Edward,
Hungerford__Edward-39838_OurRailroadsToMorrow.txt-16,Hungerford Edward,
Collet__Clara_E___Clara_Elizabeth_-68623_Educatedworkingwomen.txt-4,Collet Clara E  Clara Elizabeth ,
Collet__Clara_E___Clara_Elizabeth_-68623_Educatedworkingwomen.txt-6,Collet Clara E  Clara Elizabeth ,
Collet__Clara_E___Clara_Elizabeth_-68623_Educatedworkingwomen.txt-7,Collet Clara E  Clara Elizabeth ,
Collet__Clara_E___Clara_Elizabeth_-68623_Educatedworkingwomen.txt-15,Collet Clara E  Clara Elizabeth ,
Collet__Clara_E___Clara_Elizabeth_-68623_Educatedworkingwomen.txt-8,Collet Clara E  Clara Elizabeth ,
Latham__R__G___Robert_Gordon_-44605_ManandHis.txt-4,Latham R G  Robert Gordon ,
Latham__R__G___Robert_Gordon_-28436_AHandbookof.txt-18,Latham R G  Robert Gordon ,
Latham__R__G___Robert_Gordon_-44605_ManandHis.txt-17,Latham R G  Robert Gordon ,
Latham__R__G___Robert_Gordon_-34595_TheEnglishLanguage.txt-5,Latham R G  Robert Gordon ,
Latham__R__G___Robert_Gordon_-47390_TheNaturalHistory.txt-15,Latham R G  Robert Gordon ,
McConnell__Francis_John-9492_UnderstandingtheScriptures.txt-16,McConnell Francis John,
McConnell__Francis_John-9492_UnderstandingtheScriptures.txt-11,McConnell Francis John,
McConnell__Francis_John-9492_UnderstandingtheScriptures.txt-2,McConnell Francis John,
McConnell__Francis_John-9492_UnderstandingtheScriptures.txt-9,McConnell Francis John,
McConnell__Francis_John-9492_UnderstandingtheScriptures.txt-15,McConnell Francis John,
Veblen__Thorstein-69888_Theinstinctof.txt-10,Veblen Thorstein,
Veblen__Thorstein-39949_ThePlaceof.txt-0,Veblen Thorstein,
Veblen__Thorstein-39949_ThePlaceof.txt-7,Veblen Thorstein,
Veblen__Thorstein-39949_ThePlaceof.txt-19,Veblen Thorstein,
Veblen__Thorstein-833_TheTheoryof.txt-11,Veblen Thorstein,
Lindsay__B____1917-40362_Storiesofthe.txt-3,Lindsay B  1917,
Lindsay__B____1917-40362_Storiesofthe.txt-5,Lindsay B  1917,
Lindsay__B____1917-40362_Storiesofthe.txt-6,Lindsay B  1917,
Lindsay__B____1917-40362_Storiesofthe.txt-11,Lindsay B  1917,
Lindsay__B____1917-40362_Storiesofthe.txt-9,Lindsay B  1917,
Harner__Michael_J_-39528_MohavePottery.txt-10,Harner Michael J ,
Harner__Michael_J_-39528_MohavePottery.txt-14,Harner Michael J ,
Harner__Michael_J_-39528_MohavePottery.txt-1,Harner Michael J ,
Harner__Michael_J_-39528_MohavePottery.txt-9,Harner Michael J ,
Harner__Michael_J_-39528_MohavePottery.txt-8,Harner Michael J ,
Eberhard__Wolfram-11367_AHistoryof.txt-3,Eberhard Wolfram,
Eberhard__Wolfram-11367_AHistoryof.txt-7,Eberhard Wolfram,
Eberhard__Wolfram-11367_AHistoryof.txt-10,Eberhard Wolfram,
Eberhard__Wolfram-11367_AHistoryof.txt-18,Eberhard Wolfram,
Eberhard__Wolfram-11367_AHistoryof.txt-8,Eberhard Wolfram,
Brassey__Thomas_Brassey__Earl-57226_TheOrganisationof.txt-8,Brassey Thomas Brassey Earl,
Brassey__Thomas_Brassey__Earl-57226_TheOrganisationof.txt-4,Brassey Thomas Brassey Earl,
Brassey__Thomas_Brassey__Earl-57226_TheOrganisationof.txt-10,Brassey Thomas Brassey Earl,
Brassey__Thomas_Brassey__Earl-57226_TheOrganisationof.txt-0,Brassey Thomas Brassey Earl,
Brassey__Thomas_Brassey__Earl-57226_TheOrganisationof.txt-2,Brassey Thomas Brassey Earl,
Magoffin__Ralph_Van_Deman-12770_AStudyof.txt-13,Magoffin Ralph Van Deman,
Magoffin__Ralph_Van_Deman-12770_AStudyof.txt-12,Magoffin Ralph Van Deman,
Magoffin__Ralph_Van_Deman-12770_AStudyof.txt-14,Magoffin Ralph Van Deman,
Magoffin__Ralph_Van_Deman-12770_AStudyof.txt-9,Magoffin Ralph Van Deman,
Magoffin__Ralph_Van_Deman-12770_AStudyof.txt-2,Magoffin Ralph Van Deman,
Bancroft__Hubert_Howe-43123_TheNativeRaces.txt-3,Bancroft Hubert Howe,
Bancroft__Hubert_Howe-58658_HistoryofCentral.txt-7,Bancroft Hubert Howe,
Bancroft__Hubert_Howe-45268_TheNativeRaces.txt-14,Bancroft Hubert Howe,
Taylor__A__E___Alfred_Edward_-71885_Elementsofmetaphysics.txt-12,Taylor A E  Alfred Edward ,
Taylor__A__E___Alfred_Edward_-71885_Elementsofmetaphysics.txt-8,Taylor A E  Alfred Edward ,
Taylor__A__E___Alfred_Edward_-71885_Elementsofmetaphysics.txt-7,Taylor A E  Alfred Edward ,
Taylor__A__E___Alfred_Edward_-71885_Elementsofmetaphysics.txt-11,Taylor A E  Alfred Edward ,
Taylor__A__E___Alfred_Edward_-71885_Elementsofmetaphysics.txt-1,Taylor A E  Alfred Edward ,
Mills__Wesley-19880_Voiceproductionin.txt-16,Mills Wesley,
Mills__Wesley-19880_Voiceproductionin.txt-18,Mills Wesley,
Mills__Wesley-19880_Voiceproductionin.txt-2,Mills Wesley,
Mills__Wesley-19880_Voiceproductionin.txt-8,Mills Wesley,
Mills__Wesley-19880_Voiceproductionin.txt-4,Mills Wesley,
White__Caroline_A_-64394_SweetHampsteadand.txt-0,White Caroline A ,
White__Caroline_A_-64394_SweetHampsteadand.txt-14,White Caroline A ,
White__Caroline_A_-64394_SweetHampsteadand.txt-13,White Caroline A ,
White__Caroline_A_-64394_SweetHampsteadand.txt-7,White Caroline A ,
White__Caroline_A_-64394_SweetHampsteadand.txt-11,White Caroline A ,
Kirkpatrick__F__A___Frederick_Alexander_-38793_SouthAmericaand.txt-5,Kirkpatrick F A  Frederick Alexander ,
Kirkpatrick__F__A___Frederick_Alexander_-38793_SouthAmericaand.txt-7,Kirkpatrick F A  Frederick Alexander ,
Kirkpatrick__F__A___Frederick_Alexander_-38793_SouthAmericaand.txt-19,Kirkpatrick F A  Frederick Alexander ,
Kirkpatrick__F__A___Frederick_Alexander_-38793_SouthAmericaand.txt-13,Kirkpatrick F A  Frederick Alexander ,
Kirkpatrick__F__A___Frederick_Alexander_-38793_SouthAmericaand.txt-8,Kirkpatrick F A  Frederick Alexander ,
Tupper__Martin_Farquhar-16857_ProbabilitiesAn.txt-3,Tupper Martin Farquhar,
Tupper__Martin_Farquhar-16857_ProbabilitiesAn.txt-17,Tupper Martin Farquhar,
Tupper__Martin_Farquhar-16857_ProbabilitiesAn.txt-18,Tupper Martin Farquhar,
Tupper__Martin_Farquhar-16857_ProbabilitiesAn.txt-13,Tupper Martin Farquhar,
Northend__Mary_Harrod-33955_RemodeledFarmhouses.txt-6,Northend Mary Harrod,
Northend__Mary_Harrod-34897_ColonialHomesand.txt-3,Northend Mary Harrod,
Northend__Mary_Harrod-68614_Historicdoorwaysof.txt-10,Northend Mary Harrod,
Northend__Mary_Harrod-68614_Historicdoorwaysof.txt-3,Northend Mary Harrod,
Northend__Mary_Harrod-68614_Historicdoorwaysof.txt-13,Northend Mary Harrod,
Tordoff__Harrison_Bruce__1923_-34429_Checklistofthe.txt-2,Tordoff Harrison Bruce 1923 ,
Tordoff__Harrison_Bruce__1923_-34429_Checklistofthe.txt-7,Tordoff Harrison Bruce 1923 ,
Tordoff__Harrison_Bruce__1923_-34429_Checklistofthe.txt-1,Tordoff Harrison Bruce 1923 ,
Tordoff__Harrison_Bruce__1923_-34429_Checklistofthe.txt-13,Tordoff Harrison Bruce 1923 ,
Tordoff__Harrison_Bruce__1923_-34429_Checklistofthe.txt-11,Tordoff Harrison Bruce 1923 ,
Stillman__William_James-62044_BillyandHans.txt-1,Stillman William James,
Stillman__William_James-62044_BillyandHans.txt-8,Stillman William James,
Stillman__William_James-62044_BillyandHans.txt-0,Stillman William James,
Stillman__William_James-62044_BillyandHans.txt-2,Stillman William James,
Stillman__William_James-62044_BillyandHans.txt-7,Stillman William James,
Green__Thomas_Hill-63280_FourLectureson.txt-10,Green Thomas Hill,
Green__Thomas_Hill-63280_FourLectureson.txt-17,Green Thomas Hill,
Green__Thomas_Hill-63280_FourLectureson.txt-11,Green Thomas Hill,
Green__Thomas_Hill-63280_FourLectureson.txt-3,Green Thomas Hill,
Green__Thomas_Hill-63280_FourLectureson.txt-19,Green Thomas Hill,
Ball__Robert_S___Robert_Stawell_-24236_TimeandTide.txt-13,Ball Robert S  Robert Stawell ,
Ball__Robert_S___Robert_Stawell_-24236_TimeandTide.txt-8,Ball Robert S  Robert Stawell ,
Ball__Robert_S___Robert_Stawell_-27378_TheStoryof.txt-8,Ball Robert S  Robert Stawell ,
Ball__Robert_S___Robert_Stawell_-27378_TheStoryof.txt-0,Ball Robert S  Robert Stawell ,
Ball__Robert_S___Robert_Stawell_-24236_TimeandTide.txt-14,Ball Robert S  Robert Stawell ,
Amundsen__Roald-71497_Ourpolarflight.txt-2,Amundsen Roald,
Amundsen__Roald-71497_Ourpolarflight.txt-3,Amundsen Roald,
Amundsen__Roald-71497_Ourpolarflight.txt-7,Amundsen Roald,
Amundsen__Roald-71497_Ourpolarflight.txt-19,Amundsen Roald,
Amundsen__Roald-71497_Ourpolarflight.txt-4,Amundsen Roald,
Krutzsch__Philip_H___Philip_Henry___1919_-40110_NorthAmericanJumping.txt-1,Krutzsch Philip H  Philip Henry  1919 ,
Krutzsch__Philip_H___Philip_Henry___1919_-40110_NorthAmericanJumping.txt-4,Krutzsch Philip H  Philip Henry  1919 ,
Krutzsch__Philip_H___Philip_Henry___1919_-40110_NorthAmericanJumping.txt-0,Krutzsch Philip H  Philip Henry  1919 ,
Krutzsch__Philip_H___Philip_Henry___1919_-40110_NorthAmericanJumping.txt-3,Krutzsch Philip H  Philip Henry  1919 ,
Rambousek__Josef-60605_IndustrialPoisoningfrom.txt-11,Rambousek Josef,
Rambousek__Josef-60605_IndustrialPoisoningfrom.txt-6,Rambousek Josef,
Rambousek__Josef-60605_IndustrialPoisoningfrom.txt-19,Rambousek Josef,
Rambousek__Josef-60605_IndustrialPoisoningfrom.txt-5,Rambousek Josef,
Rambousek__Josef-60605_IndustrialPoisoningfrom.txt-0,Rambousek Josef,
Morley__John-32510_TheLifeof.txt-9,Morley John,
Morley__John-12001_StudiesinLiterature.txt-13,Morley John,
Morley__John-22865_CriticalMiscellaniesVol.txt-6,Morley John,
Morley__John-14052_RousseauVolume1.txt-6,Morley John,
Morley__John-22865_CriticalMiscellaniesVol.txt-7,Morley John,
Thatcher__B__B___Benjamin_Bussey_-54072_IndianBiographyVol.txt-3,Thatcher B B  Benjamin Bussey ,
Thatcher__B__B___Benjamin_Bussey_-54072_IndianBiographyVol.txt-13,Thatcher B B  Benjamin Bussey ,
Thatcher__B__B___Benjamin_Bussey_-54072_IndianBiographyVol.txt-11,Thatcher B B  Benjamin Bussey ,
Thatcher__B__B___Benjamin_Bussey_-54072_IndianBiographyVol.txt-6,Thatcher B B  Benjamin Bussey ,
Bastiat__Frédéric-16106_WhatIsFree.txt-3,Bastiat Frédéric,
Bastiat__Frédéric-44800_TheLaw.txt-18,Bastiat Frédéric,
Bastiat__Frédéric-44800_TheLaw.txt-9,Bastiat Frédéric,
Bastiat__Frédéric-44144_ProtectionandCommunism.txt-11,Bastiat Frédéric,
Walters__Francis_M___Francis_Marion___1862_-18779_PhysiologyandHygiene.txt-0,Walters Francis M  Francis Marion  1862 ,
Walters__Francis_M___Francis_Marion___1862_-18779_PhysiologyandHygiene.txt-14,Walters Francis M  Francis Marion  1862 ,
Walters__Francis_M___Francis_Marion___1862_-18779_PhysiologyandHygiene.txt-10,Walters Francis M  Francis Marion  1862 ,
Walters__Francis_M___Francis_Marion___1862_-18779_PhysiologyandHygiene.txt-9,Walters Francis M  Francis Marion  1862 ,
Newsholme__Arthur__Sir-69823_Publichealthand.txt-13,Newsholme Arthur Sir,
Newsholme__Arthur__Sir-69823_Publichealthand.txt-10,Newsholme Arthur Sir,
Newsholme__Arthur__Sir-58591_Hygieneamanual.txt-17,Newsholme Arthur Sir,
Newsholme__Arthur__Sir-69823_Publichealthand.txt-8,Newsholme Arthur Sir,
Newsholme__Arthur__Sir-69823_Publichealthand.txt-6,Newsholme Arthur Sir,
Gomme__George_Laurence-21852_Folkloreasan.txt-9,Gomme George Laurence,
Gomme__George_Laurence-21852_Folkloreasan.txt-13,Gomme George Laurence,
Gomme__George_Laurence-21852_Folkloreasan.txt-14,Gomme George Laurence,
Coffin__Henry_Sloane-16424_SomeChristianConvictions.txt-2,Coffin Henry Sloane,
Coffin__Henry_Sloane-16424_SomeChristianConvictions.txt-17,Coffin Henry Sloane,
Coffin__Henry_Sloane-16424_SomeChristianConvictions.txt-3,Coffin Henry Sloane,
Coffin__Henry_Sloane-16424_SomeChristianConvictions.txt-7,Coffin Henry Sloane,
Coffin__Henry_Sloane-16424_SomeChristianConvictions.txt-0,Coffin Henry Sloane,
Tutchin__John__1661__1707-38407_SelectedPoems16851700.txt-4,Tutchin John 1661 1707,
Tutchin__John__1661__1707-38407_SelectedPoems16851700.txt-8,Tutchin John 1661 1707,
Tutchin__John__1661__1707-38407_SelectedPoems16851700.txt-6,Tutchin John 1661 1707,
Worthington__A__M___Arthur_Mason_-39831_AStudyof.txt-0,Worthington A M  Arthur Mason ,
Worthington__A__M___Arthur_Mason_-39831_AStudyof.txt-14,Worthington A M  Arthur Mason ,
Worthington__A__M___Arthur_Mason_-39831_AStudyof.txt-6,Worthington A M  Arthur Mason ,
Worthington__A__M___Arthur_Mason_-39831_AStudyof.txt-16,Worthington A M  Arthur Mason ,
Worthington__A__M___Arthur_Mason_-39831_AStudyof.txt-7,Worthington A M  Arthur Mason ,
Cicero__Marcus_Tullius__107_BCE_44_BCE-14945_CatoMaiorde.txt-18,Cicero Marcus Tullius 107 BCE 44 BCE,
Cicero__Marcus_Tullius__107_BCE_44_BCE-9776_CicerosBrutusor.txt-11,Cicero Marcus Tullius 107 BCE 44 BCE,
Cicero__Marcus_Tullius__107_BCE_44_BCE-14945_CatoMaiorde.txt-10,Cicero Marcus Tullius 107 BCE 44 BCE,
Cicero__Marcus_Tullius__107_BCE_44_BCE-11080_TheOrationsof.txt-8,Cicero Marcus Tullius 107 BCE 44 BCE,
Cicero__Marcus_Tullius__107_BCE_44_BCE-14945_CatoMaiorde.txt-5,Cicero Marcus Tullius 107 BCE 44 BCE,
Bartrum__Edward-31251_TheBookof.txt-7,Bartrum Edward,
Bartrum__Edward-31251_TheBookof.txt-17,Bartrum Edward,
Bartrum__Edward-31251_TheBookof.txt-6,Bartrum Edward,
Bartrum__Edward-31251_TheBookof.txt-16,Bartrum Edward,
Bartrum__Edward-31251_TheBookof.txt-8,Bartrum Edward,
Dundonald__Thomas_Cochrane__Earl_of-14914_NarrativeofServices.txt-17,Dundonald Thomas Cochrane Earl of,
Dundonald__Thomas_Cochrane__Earl_of-14914_NarrativeofServices.txt-2,Dundonald Thomas Cochrane Earl of,
Dundonald__Thomas_Cochrane__Earl_of-14914_NarrativeofServices.txt-1,Dundonald Thomas Cochrane Earl of,
Dundonald__Thomas_Cochrane__Earl_of-14914_NarrativeofServices.txt-12,Dundonald Thomas Cochrane Earl of,
Dundonald__Thomas_Cochrane__Earl_of-14914_NarrativeofServices.txt-4,Dundonald Thomas Cochrane Earl of,
Jones__W__Tudor__William_Tudor_-16835_AnInterpretationof.txt-10,Jones W Tudor William Tudor ,
Jones__W__Tudor__William_Tudor_-16835_AnInterpretationof.txt-17,Jones W Tudor William Tudor ,
Jones__W__Tudor__William_Tudor_-16835_AnInterpretationof.txt-15,Jones W Tudor William Tudor ,
Jones__W__Tudor__William_Tudor_-16835_AnInterpretationof.txt-2,Jones W Tudor William Tudor ,
Jones__W__Tudor__William_Tudor_-16835_AnInterpretationof.txt-14,Jones W Tudor William Tudor ,
Abrahams__Israel-6971_Judaism.txt-8,Abrahams Israel,
Abrahams__Israel-9886_TheBookof.txt-11,Abrahams Israel,
Abrahams__Israel-6971_Judaism.txt-11,Abrahams Israel,
Abrahams__Israel-70401_BypathsinHebraic.txt-18,Abrahams Israel,
Willoughby__Westel_Woodbury-12136_GovernmentandAdministration.txt-7,Willoughby Westel Woodbury,
Willoughby__Westel_Woodbury-12136_GovernmentandAdministration.txt-14,Willoughby Westel Woodbury,
Willoughby__Westel_Woodbury-12136_GovernmentandAdministration.txt-9,Willoughby Westel Woodbury,
